Player Name,Team,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
DALBERTO LUAN BELO,AREMA FC,,,1,,3,1,,2,3,,,6,8,,,53,3,,2,8,2,1
DAMIANUS ADIMAN PUTRA,PSBS BIAK,,,,,,,,,,1,,,,2,,,,,,,,
DANI SAPUTRA,DEWA UNITED BANTEN FC,,,,,1,,,,,,2,,,,,,,,,,,
DAVID APARECIDO DA SILVA,MALUT UNITED FC,,,1,,,,,1,,2,,3,2,,,,1,,,3,1,
DEDE SAPARI,PSIM YOGYAKARTA,1,,,,,1,1,,,,,,,,,,,,,,,
DEDIK SETIAWAN,AREMA FC,,,,,,,,,,,1,,,,,,,,,1,,
DEJAN RACIC,BHAYANGKARA PRESISI LAMPUNG FC,,,,,,1,,,,1,,,,,,,,,,,,
DEJAN TUMBAS,PERSEBAYA SURABAYA,,2,,,5,,,,4,1,1,,4,7,,57,,,1,2,5,
DENDY SANTOSO,AREMA FC,,1,,,,1,,,,3,,,,,,,,,,,,
DICKY KURNIAWAN ARIFIN,PERSIJAP JEPARA,1,,,,,,1,,,,3,1,,,,,,,2,2,,
DIMAS GALIH PRATAMA,PSBS BIAK,,,,,,,,,,,,,,,,,,1,,,,
DIME DIMOV,PERSEBAYA SURABAYA,,5,4,,12,,,,3,1,6,,10,10,,107,,,,,2,
DIOGO ARAUJO BRITO,PERSIJAP JEPARA,,2,2,,7,3,,,5,,4,,8,4,,52,,,2,1,,1
DOUGLAS COUTINHO GOMES DE SOUZA,BORNEO FC SAMARINDA,,1,,,3,1,1,1,3,10,,,,6,,,,,3,1,1,
DOUGLAS NONATO OLIVEIRA CRUZ,PERSIJAP JEPARA,,1,1,,5,,,,,1,2,,3,8,,44,,,1,,3,1
DWIKI MARDIYANTO,AREMA FC,,,,,1,,,,,,,,,,,,,,1,,2,
EBER HENRIQUE FERREIRA DE BESSA,PERSITA,,,,,,5,3,,2,5,7,,3,2,,38,,,1,,3,1
EDUARDO MIGUEL RAMOS BARBOSA,PSBS BIAK,1,1,,,,2,,3,5,3,2,,,5,,70,,,,,2,1
EGY MAULANA VIKRI,DEWA UNITED BANTEN FC,,5,,,,3,,,2,1,1,,,,,,,,,,3,
EKSEL TIMOTHY JOSEPH RUNTUKAHU,PERSIJA JAKARTA,,1,,,,,,,5,,,1,1,2,,,,,1,1,,
ELVIS SAKYI,PERSIJAP JEPARA,,3,,,6,,,,2,1,6,,3,2,,48,,,1,1,3,1
EMAXWELL SOUZA DE LIMA,PERSIJA JAKARTA,,1,,,,,,1,3,4,,3,1,,,34,,,4,3,,
ERNANDO ARI SUTARYADI,PERSEBAYA SURABAYA,,,,,1,,,,,,2,,,,,49,,14,,,,
ESAL SAHRUL MUHROM,PERSITA,,2,,,2,1,1,,6,,,,,1,,,,,,,3,
EZRA HARM RUUD WALIAN,PERSIK KEDIRI,1,2,,,,4,4,1,2,3,5,1,,6,,69,,,1,3,4,
FABIO DA SILVA CALONEGO,PERSIJA JAKARTA,1,5,1,,4,4,1,,1,1,3,,3,9,,113,,,1,1,7,
FAHREZA SUDIN,PSIM YOGYAKARTA,,,,,,,,,1,,,,,,,,,,,,,1
FAREED SADAT,BHAYANGKARA PRESISI LAMPUNG FC,,,,,,,,,,1,,1,,,,,,,2,1,,
FEBRI HARIYADI,PERSIB BANDUNG,,,,,1,,,,,2,,1,,2,,,,,,3,,
FERDIANSYAH,SEMEN PADANG FC,1,,,,,1,,,,,,,,,,,,,,,,
FERIAN RIZKI MAULANA,MADURA UNITED FC,,1,,,,,,,2,,,,,6,,,,,,,5,
FIKRON AFRIYANTO,PERSIJAP JEPARA,,,,,2,,,,,,1,,,,,,,,,,,
FIRMAN JULIANSYAH,SEMEN PADANG FC,,,,,,,,,3,2,,,2,,,,,,1,,1,1
FRANC RIKHART SOKOY,PERSIJAP JEPARA,,,,,1,1,,,,,,,1,,,,,,,,1,
FRANCISCO ISRAEL RIVERA DAVALOS,PERSEBAYA SURABAYA,1,3,1,,1,8,,3,5,12,8,2,,2,,81,,,1,3,6,
FRANCISCO PEREIRA CARNEIRO,PERSIK KEDIRI,,2,3,2,9,,,2,,5,3,,2,15,,137,,,,,4,
FRANCO GASTON RAMOS MINGO,PSIM YOGYAKARTA,,4,2,,16,,,,5,4,4,,10,10,,111,,,,,4,1
FRANS DHIA JIRJIS PUTROS,PERSIB BANDUNG,,3,2,,6,2,1,,,5,2,,5,9,,89,,,2,1,3,
FRANSISKUS ALESANDRO NIMO OLEPUE,MADURA UNITED FC,1,1,,,,3,1,1,,2,,,2,5,,44,,,1,,5,
FRENGKY DEANER MISSA,BHAYANGKARA PRESISI LAMPUNG FC,,2,,,,1,,1,,1,1,,,,,,,,,1,,
FRETS LISTANTO BUTUAN,MALUT UNITED FC,,1,,,,,,,,,,,,,,,,,,,,
