Player Name,Team,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
PEDRO RICARDO RODRIGUES DE MATOS,SEMEN PADANG FC,1,3,,,,3,,1,4,2,1,,,,,42,,,2,,2,
RAFAEL ANDRÉS NIETO RONDÓN,BHAYANGKARA PRESISI LAMPUNG FC,,,,,,1,,,2,4,6,,2,,,,,,,1,,
RAFAEL WILLIAM STRUICK,DEWA UNITED BANTEN FC,,1,,,,,,,2,,,,,,,,,,3,1,,
RAHMAT ARJUNA RESKI,BALI UNITED FC,,1,,,,2,1,2,2,1,,,,,,,,,,,3,
RAHMAT HIDAYAT,PERSIJAP JEPARA,,,,1,9,3,1,1,3,,,,,12,,60,,,,,4,
RAHMATSHOH RAHMATZODA,PSIM YOGYAKARTA,,2,,,2,,,,2,2,4,,3,6,,79,,,,1,1,
RAJA IMAM SIREGAR,PSBS BIAK,,,,,2,,,,3,,,,,,,,,,1,,,
RAKA CAHYANA RIZKY,PSIM YOGYAKARTA,,3,1,1,1,2,1,1,1,,,,,10,,60,,,,,3,
RAMON DE ANDRADE SOUZA,PERSIB BANDUNG,1,2,,,,2,1,1,1,2,,,1,,,,,,,,,
RAYCO RODRIGUEZ MEDINA,PERSITA,,2,,,,3,,1,5,6,,,4,1,,40,,,1,1,,
REVA ADI UTAMA,PSIM YOGYAKARTA,,4,2,,2,1,1,,4,1,4,,1,10,,101,,,,,4,2
REYNER IMMANUELO BARUSU,BALI UNITED FC,,,,,1,,,,4,2,1,,2,4,,54,,,3,,5,
RICKI KAMBUAYA,DEWA UNITED BANTEN FC,1,6,,,,1,,6,7,4,1,,2,4,,95,,,,2,4,1
RICKY FAJRIN SAPUTRA,BALI UNITED FC,,3,,,6,1,1,,3,3,,,2,13,,117,,,2,,3,1
RICKY PRATAMA,PSM MAKASSAR,,,,1,2,1,,,5,4,2,,1,,,33,,,2,,3,2
RIFKY DWI SEPTIAWAN,PSM MAKASSAR,,,,,,,,,2,,,,,,,,,,,,2,1
RIO HARDIAWAN,PSIM YOGYAKARTA,,,,,,,,,,,,,,1,,,,,,,,
RIPAL WAHYUDI,SEMEN PADANG FC,,1,3,,,1,1,1,5,2,,,2,8,,63,,,,1,10,1
RISTO MITREVSKI,PERSEBAYA SURABAYA,,2,4,,14,,,,1,1,7,1,5,10,,122,,1,,2,1,
RISWAN H LAUHIM,MALUT UNITED FC,,,,,1,,,,,,1,,,,,,,,,,,
RIVALDO ENERO PAKPAHAN,BORNEO FC SAMARINDA,,2,,,2,,,,2,2,,,,,,,,,,,,
RIZKI HIDAYAT,PERSIJAP JEPARA,,3,,,,1,,,,,,,,2,,30,,,2,,,
RIZKY DWI FEBRIANTO,BALI UNITED FC,,,,,1,,,,,,,1,,,1,,,,,,,
RIZKY RIDHO RAMADHANI,PERSIJA JAKARTA,,3,1,1,3,,,1,2,,14,1,4,10,,171,,,1,1,4,
ROBERTO PIMENTA VINAGRE FILHO,AREMA FC,,5,1,,2,,,2,7,6,2,1,5,6,1,156,,,1,,8,1
ROBI DARWIS,PERSIB BANDUNG,,,,,1,,,,,,,,,,,,,,,,,
RODRIGO MOURA DO NASCIMENTO,PERSIJAP JEPARA,,,,,1,,,,,,11,,,,,30,,5,,,,1
ROGER BONET BADIA,MADURA UNITED FC,,3,2,1,5,,,,3,1,3,,5,11,,123,,,,,7,1
ROSAD SETIAWAN,SEMEN PADANG FC,,,,,,,,,,,,,,,,,,,,,2,1
ROSALVO CANDIDO ROSA JUNIOR,PERSIJAP JEPARA,1,,,,,1,,2,2,3,,,4,,,29,,,1,,1,1
ROSEMBERGNE DA SILVA,PERSIB BANDUNG,,2,,,1,1,1,3,,4,,,1,,,,,,,3,,1
RUI PEDRO RIBEIRO DE SOUSA PEIXOTO,SEMEN PADANG FC,,1,1,,3,,,,1,,1,,2,2,,54,,,,,5,
RUYERY ALFONSO BLANCO YUS,PSBS BIAK,,2,,,1,2,1,,5,5,1,1,2,,,,,,,2,,1
RYAN KURNIA,BHAYANGKARA PRESISI LAMPUNG FC,,,,,,,1,,,,,,1,,,,,,,1,,
RYUJI UTOMO PRABOWO,PERSITA,,,,,3,,,,,,,,2,,,,,,1,1,2,
SADDIL RAMDANI,PERSIB BANDUNG,1,,,,,2,,2,8,2,,,,,,,,,,,,1
SAFRUDIN TAHAR,MALUT UNITED FC,,,4,,4,,,1,1,1,,,,4,,48,,,1,,3,1
SALIM AKBAR TUHAREA,AREMA FC,,,,,,,,1,,,,,,,,,,,,,,
SANDRO SENE ANIBAL EMBALO,PSBS BIAK,,1,1,1,5,,,,,2,5,,5,7,,108,,,,,2,
SANI RIZKI FAUZI,BHAYANGKARA PRESISI LAMPUNG FC,,1,,,,3,1,1,2,,,,,,,32,,,2,,5,1
SAVIO ROBERTO JULIAO FIGUEIREDO,PSM MAKASSAR,,,,,,,,,,,1,,,,,,,,,,,
SHANYDER ANTONIO BORGELIN,BHAYANGKARA PRESISI LAMPUNG FC,,,,,1,2,,,3,1,,,3,,,,,,,,,
SHO YAMAMOTO,PERSIS SOLO,,,,,1,1,,3,,6,2,2,2,2,,49,,,,2,,2
SIN YEONG BAE,PERSITA,,,,,,2,,1,2,2,3,,,6,,65,,,,,2,
SLAVKO DAMJANOVIC,BHAYANGKARA PRESISI LAMPUNG FC,,3,3,,15,,,,2,1,5,,5,7,,88,,,1,,7,
SONNY RICARDO MARCIANO STEVENS,DEWA UNITED BANTEN FC,,,,,2,,,,,,7,,,,,63,,8,,,,
STEFANO JANTJE LILIPALY,DEWA UNITED BANTEN FC,,,,,,1,,,,,1,,,2,,,,,,2,2,
STJEPAN PLAZONJA,BHAYANGKARA PRESISI LAMPUNG FC,,2,,1,,2,1,1,,,,,,2,,29,,,,,5,
SUDI ABDALLAH,PERSIJAP JEPARA,,,,,,3,,,2,2,,1,2,1,,,,,1,2,,
SYAHRIAN ABIMANYU,PERSIK KEDIRI,,,,,,1,,,1,,,,,1,,23,,,,,,
SYAHRUL R LASINARI,PSM MAKASSAR,,2,,1,5,,,,2,,2,,1,5,,32,,,,,3,
SYLVAIN JUSTIN ATIEDA,PERSIK KEDIRI,,1,,,,,,1,1,,,,4,,,,,,2,,,
T. M ICHSAN,BHAYANGKARA PRESISI LAMPUNG FC,,1,,,,,,,3,,,,,3,,,,,,,,1
TAISEI MARUKAWA,DEWA UNITED BANTEN FC,1,6,,1,1,3,,5,7,8,,1,,3,,97,,,1,2,2,1
TAMIRLAN KOZUBAEV,PERSITA,,5,3,,9,1,,,2,2,7,,13,4,,88,,,2,1,,
TAUFIK HIDAYAT,MADURA UNITED FC,,,,1,,1,,1,2,2,4,,2,6,,94,,,1,,7,
TEJA PAKU ALAM,PERSIB BANDUNG,,,,,,,,,,,6,,,,,56,,6,,,,
TELMO FERREIRA CASTANHEIRA,PERSIK KEDIRI,,1,,,3,,1,1,5,2,6,1,2,3,,88,,,2,4,2,1
THIJMEN GOPPEL,BALI UNITED FC,2,6,,,,15,10,3,3,1,3,2,,4,,77,,,1,2,4,1
TIM CHARLES PIETER RECEVEUR,BALI UNITED FC,,7,,1,3,3,,2,4,1,7,,5,12,,190,,,1,1,5,1
TONI FIRMANSYAH,PERSEBAYA SURABAYA,,3,1,2,5,1,,1,9,3,1,,1,4,,59,,,1,,8,2
TRI SETIAWAN,MALUT UNITED FC,,3,,,1,,,,1,,,,,3,,,,,,,3,1
TYRONNE GUSTAVO DEL PINO RAMOS,MALUT UNITED FC,1,2,,,,2,,,3,4,2,,,,,45,,,,,1,1
UILLIAM BARROS PEREIRA,PERSIB BANDUNG,,,,,,3,,,5,6,,2,6,,,31,1,,3,2,2,
VALDECI MOREIRA DA SILVA,AREMA FC,,,,,,1,,1,1,7,2,1,,2,,70,,,,3,3,
VALERII HRYSHYN,MADURA UNITED FC,,,,,,,,,2,,,,,,,,,,1,,,1
VAN BASTY SOUSA E SILVA,PERSIJA JAKARTA,1,5,,,3,2,,,7,2,4,,5,8,,130,,,1,,4,1
VICTOR JONSON BENJAMIN DETHAN,PSM MAKASSAR,,2,,,,1,,1,,2,,1,1,4,,,,,1,1,3,
VICTOR LUIZ PRESTES FILHO,PSM MAKASSAR,1,4,3,1,8,2,3,6,2,3,5,,5,7,,67,,,1,,8,1
VINICIUS DUARTE,MALUT UNITED FC,,,1,,,,1,2,,7,,,,1,,44,,,1,,1,
VINICIUS LEONARDO DA SILVA,BHAYANGKARA PRESISI LAMPUNG FC,,,1,,2,,,,,,2,,1,5,,,,,,,,
WAHYU PRASETYO,DEWA UNITED BANTEN FC,,4,,,3,,,,3,1,1,,1,9,,78,,,2,,4,1
WAHYU SUBO SETO,BHAYANGKARA PRESISI LAMPUNG FC,,2,,1,,,,,3,3,,,3,5,,30,,,,,3,1
WAHYUDI SETIAWAN HAMISI,PERSIJAP JEPARA,,5,,,4,1,1,1,3,5,3,,3,8,,76,,,1,3,8,2
WBEYMAR ANGULO MOSQUERA,MALUT UNITED FC,,6,,1,1,,,2,4,,6,,1,7,,83,,,,,3,
WESTHERLEY GARCIA NOGUEIRA,BORNEO FC SAMARINDA,,3,,,7,4,2,5,2,3,8,,,7,,126,,,2,2,2,
WIGI PRATAMA,PERSIK KEDIRI,,,,,,,,,,,,,,,,,,,1,,2,
WILIAM MOREIRA DA SILVA MARCILIO,PERSIB BANDUNG,,,1,,,3,1,,2,2,6,,3,5,,59,,,3,2,2,
WITAN SULAEMAN,PERSIJA JAKARTA,1,2,,,,1,1,,,3,1,,1,2,,53,,,,1,,
XANDRO DYLAN SCHENK,PERSIS SOLO,,2,4,,6,1,,,4,,4,,1,8,,145,,,,,1,1
YAKOB SAYURI,MALUT UNITED FC,1,2,1,1,6,3,,2,5,8,1,1,1,7,,38,,,1,3,8,2
YANCE SAYURI,MALUT UNITED FC,,6,1,2,4,,1,1,1,3,4,1,3,5,,64,,,,2,7,
YANDI SOFYAN MUNAWAR,PERSIK KEDIRI,1,,,,,1,,,,2,1,,,,,,,,,,2,
YANN MOTTA PINTO,AREMA FC,,,1,1,3,,,,2,,1,,4,3,,65,,,,,1,1
YOGA ADIYATAMA,PERSIK KEDIRI,,1,,4,2,2,2,1,,1,,,,3,,63,,,1,,5,1
YURAN FERNANDES ROCHA LOPES,PSM MAKASSAR,,1,1,,1,,,,,2,,,1,3,,,,,1,,,
YUSAKU YAMADERA,PSIM YOGYAKARTA,,6,3,,18,1,,,,2,3,,2,8,,115,,,,,4,
YUSUF MEILANA FUAD BURHANI,PERSIK KEDIRI,,1,,,,,,,,,,,,3,,,,,,,,
ZIDANE PRAMUDYA AFANDI,SEMEN PADANG FC,,1,2,,5,,,,4,4,3,,3,14,,63,,,,,2,1
